Time,Positions,Revenue,Weighted_Average_Price
0,30.0,829.0,27.6
1,30.0,834.0,27.8
2,35.0,968.0,27.7
3,25.0,680.0,27.2
4,45.0,1216.0,27.0
5,50.0,1350.0,27.0
6,52.0,1423.6,27.4
7,25.0,680.0,27.2
8,43.0,1162.4,27.0
9,58.0,1564.4,27.0
10,51.0,1396.8,27.4
11,35.0,948.0,27.1
12,43.0,1162.4,27.0
13,52.0,1403.6,27.0
14,45.0,1318.5,29.3
15,20.0,726.0,36.3
16,35.0,1386.5,39.6
17,50.0,2024.0,40.5
18,40.0,1161.0,29.0
19,15.0,882.0,58.8
20,25.0,695.0,27.8
21,35.0,968.0,27.7
22,45.0,1241.0,27.6
23,25.0,690.0,27.6
